,borough,x,y,latitude,longitude
256,Barking & Dagenham,547731.3,187794.1,51.56967,0.130208
257,Barking & Dagenham,547741.3,187832.0,51.570008,0.130368
258,Barking & Dagenham,547746.5,187867.2,51.570323,0.130458
259,Barking & Dagenham,547744.4,187889.9,51.570527,0.130437
260,Barking & Dagenham,547743.2,187901.8,51.570634,0.130425
261,Barking & Dagenham,547740.4,187907.5,51.570686,0.130387
262,Barking & Dagenham,547738.4,187908.8,51.570698,0.130358
263,Barking & Dagenham,547734.5,187911.2,51.570721,0.130303
264,Barking & Dagenham,547719.9,187905.7,51.570675,0.13009
265,Barking & Dagenham,547715.2,187914.2,51.570753,0.130026
266,Barking & Dagenham,547712.5,187919.1,51.570798,0.129989
267,Barking & Dagenham,547711.2,187935.0,51.570941,0.129977
268,Barking & Dagenham,547711.7,187959.5,51.571161,0.129995
269,Barking & Dagenham,547711.0,187970.3,51.571258,0.129989
270,Barking & Dagenham,547706.5,187975.5,51.571306,0.129926
271,Barking & Dagenham,547704.7,187994.2,51.571475,0.129908
272,Barking & Dagenham,547704.1,188001.3,51.571539,0.129903
273,Barking & Dagenham,547764.4,188020.6,51.571696,0.13078
274,Barking & Dagenham,547817.9,188036.9,51.571829,0.131559
275,Barking & Dagenham,547817.7,188037.5,51.571834,0.131556
276,Barking & Dagenham,547791.7,188120.8,51.572589,0.131216
277,Barking & Dagenham,547788.9,188124.3,51.572622,0.131177
278,Barking & Dagenham,547777.6,188160.2,51.572947,0.131029
279,Barking & Dagenham,547768.2,188189.1,51.573209,0.130906
280,Barking & Dagenham,547764.4,188195.8,51.57327,0.130854
281,Barking & Dagenham,547766.4,188205.5,51.573357,0.130887
282,Barking & Dagenham,547763.0,188208.7,51.573387,0.130839
283,Barking & Dagenham,547745.6,188193.6,51.573256,0.130582
284,Barking & Dagenham,547711.0,188172.8,51.573078,0.130074
285,Barking & Dagenham,547709.8,188175.5,51.573102,0.130058
286,Barking & Dagenham,547690.9,188217.3,51.573483,0.129803
287,Barking & Dagenham,547678.3,188237.1,51.573664,0.12963
288,Barking & Dagenham,547663.3,188268.3,51.573948,0.129427
289,Barking & Dagenham,547662.7,188269.6,51.57396,0.129418
290,Barking & Dagenham,547658.8,188291.1,51.574154,0.129371
291,Barking & Dagenham,547658.4,188293.9,51.57418,0.129367
292,Barking & Dagenham,547656.8,188308.7,51.574313,0.12935
293,Barking & Dagenham,547656.8,188325.7,51.574466,0.129357
294,Barking & Dagenham,547656.1,188326.1,51.57447,0.129347
295,Barking & Dagenham,547653.3,188327.5,51.574483,0.129307
296,Barking & Dagenham,547649.9,188359.9,51.574775,0.129272
297,Barking & Dagenham,547649.6,188401.2,51.575146,0.129285
298,Barking & Dagenham,547647.6,188453.9,51.57562,0.129278
299,Barking & Dagenham,547644.4,188468.1,51.575748,0.129238
300,Barking & Dagenham,547640.4,188500.5,51.576041,0.129194
301,Barking & Dagenham,547638.0,188531.7,51.576322,0.129172
302,Barking & Dagenham,547682.3,188553.2,51.576503,0.12982
303,Barking & Dagenham,547804.5,188621.7,51.577087,0.131611
304,Barking & Dagenham,547788.0,188649.5,51.577341,0.131385
305,Barking & Dagenham,547787.6,188655.7,51.577397,0.131382
306,Barking & Dagenham,547786.5,188675.2,51.577572,0.131374
307,Barking & Dagenham,547780.5,188697.7,51.577776,0.131297
308,Barking & Dagenham,547771.4,188732.4,51.57809,0.13118
309,Barking & Dagenham,547764.2,188761.0,51.578349,0.131089
